Date,HRU,ID.x,ASP,ID.y,Manual
1971-01-09,101,2F05P,257.8,NA,NA
1971-01-10,101,2F05P,264.4,NA,NA
1971-01-11,101,2F05P,271.8,NA,NA
1971-01-12,101,2F05P,279.4,NA,NA
1971-01-13,101,2F05P,286.5,NA,NA
1971-01-14,101,2F05P,293.4,NA,NA
1971-01-15,101,2F05P,301,NA,NA
1971-01-16,101,2F05P,307.3,NA,NA
1971-01-17,101,2F05P,315,NA,NA
1971-01-18,101,2F05P,322.6,NA,NA
1971-01-19,101,2F05P,328.9,NA,NA
1971-01-20,101,2F05P,337.8,NA,NA
1971-01-21,101,2F05P,345.4,NA,NA
1971-01-22,101,2F05P,353.1,NA,NA
1971-01-23,101,2F05P,359.4,NA,NA
1971-01-24,101,2F05P,367,NA,NA
1971-01-25,101,2F05P,374.7,NA,NA
1971-01-26,101,2F05P,382.3,NA,NA
1971-01-27,101,2F05P,388.6,NA,NA
1971-01-28,101,2F05P,396.2,NA,NA
1971-01-29,101,2F05P,403.9,NA,NA
1971-01-30,101,2F05P,403.9,NA,NA
1971-01-31,101,2F05P,408.9,NA,NA
1971-02-01,101,2F05P,402.6,NA,NA
1971-02-02,101,2F05P,406.4,NA,NA
1971-02-03,101,2F05P,411.5,NA,NA
1971-02-04,101,2F05P,412.8,NA,NA
1971-02-05,101,2F05P,415.3,NA,NA
1971-02-06,101,2F05P,415.3,NA,NA
1971-02-07,101,2F05P,415.3,NA,NA
1971-02-08,101,2F05P,415.3,NA,NA
1971-02-09,101,2F05P,415.3,NA,NA
1971-02-10,101,2F05P,415.3,NA,NA
1971-02-11,101,2F05P,429.3,NA,NA
1971-02-12,101,2F05P,436.9,NA,NA
1971-02-13,101,2F05P,450.9,NA,NA
1971-02-14,101,2F05P,457.2,NA,NA
1971-02-15,101,2F05P,466.1,NA,NA
1971-02-16,101,2F05P,471.2,NA,NA
1971-02-17,101,2F05P,472.4,NA,NA
1971-02-18,101,2F05P,472.4,NA,NA
1971-02-19,101,2F05P,471.2,NA,NA
1971-02-20,101,2F05P,473.7,NA,NA
1971-02-21,101,2F05P,475,NA,NA
1971-02-22,101,2F05P,476.3,NA,NA
1971-02-23,101,2F05P,480.1,NA,NA
1971-02-24,101,2F05P,482.6,NA,NA
1971-02-25,101,2F05P,490.2,NA,NA
1971-02-26,101,2F05P,494,NA,NA
1971-02-27,101,2F05P,497.8,NA,NA
1971-02-28,101,2F05P,504.2,NA,NA
1971-03-01,101,2F05P,505.5,NA,NA
1971-03-02,101,2F05P,505.5,NA,NA
1971-03-03,101,2F05P,509.3,NA,NA
1971-03-04,101,2F05P,513.1,NA,NA
1971-03-05,101,2F05P,513.1,NA,NA
1971-03-06,101,2F05P,513.1,NA,NA
1971-03-07,101,2F05P,514.4,NA,NA
1971-03-08,101,2F05P,523.2,NA,NA
1971-03-09,101,2F05P,520.7,NA,NA
1971-03-10,101,2F05P,525.8,NA,NA
1971-03-11,101,2F05P,532.1,NA,NA
1971-03-12,101,2F05P,537.2,NA,NA
1971-03-13,101,2F05P,543.6,NA,NA
1971-03-14,101,2F05P,542.3,NA,NA
1971-03-15,101,2F05P,542.3,NA,NA
1971-03-16,101,2F05P,539.8,NA,NA
1971-03-17,101,2F05P,542.3,NA,NA
1971-03-18,101,2F05P,541,NA,NA
1971-03-19,101,2F05P,541,NA,NA
1971-03-20,101,2F05P,544.8,NA,NA
1971-03-21,101,2F05P,544.8,NA,NA
1971-03-22,101,2F05P,541,NA,NA
1971-03-23,101,2F05P,547.4,NA,NA
1971-03-24,101,2F05P,551.2,NA,NA
1971-03-25,101,2F05P,556.3,NA,NA
1971-03-26,101,2F05P,558.8,NA,NA
1971-03-27,101,2F05P,571.5,NA,NA
1971-03-28,101,2F05P,572.8,NA,NA
1971-03-29,101,2F05P,580.4,NA,NA
1971-03-30,101,2F05P,588,NA,NA
1971-03-31,101,2F05P,588,NA,NA
1971-04-01,101,2F05P,594.4,NA,NA
1971-04-02,101,2F05P,602,NA,NA
1971-04-03,101,2F05P,605.8,NA,NA
1971-04-04,101,2F05P,604.5,NA,NA
1971-04-05,101,2F05P,607.1,NA,NA
1971-04-06,101,2F05P,591.8,NA,NA
1971-04-07,101,2F05P,575.3,NA,NA
1971-04-08,101,2F05P,572.8,NA,NA
1971-04-09,101,2F05P,579.1,NA,NA
1971-04-10,101,2F05P,586.7,NA,NA
1971-04-11,101,2F05P,609.6,NA,NA
1971-04-12,101,2F05P,618.5,NA,NA
1971-04-13,101,2F05P,622.3,NA,NA
1971-04-14,101,2F05P,621,NA,NA
1971-04-15,101,2F05P,596.9,NA,NA
1971-04-16,101,2F05P,604.5,NA,NA
1971-04-17,101,2F05P,617.2,NA,NA
1971-04-18,101,2F05P,622.3,NA,NA
1971-04-19,101,2F05P,621,NA,NA
1971-04-20,101,2F05P,612.1,NA,NA
1971-04-21,101,2F05P,591.8,NA,NA
1971-04-22,101,2F05P,596.9,NA,NA
1971-04-23,101,2F05P,602,NA,NA
1971-04-24,101,2F05P,605.8,NA,NA
1971-04-25,101,2F05P,613.4,NA,NA
1971-04-26,101,2F05P,596.9,NA,NA
1971-04-27,101,2F05P,584.2,NA,NA
1971-04-28,101,2F05P,579.1,NA,NA
1971-04-29,101,2F05P,577.9,NA,NA
1971-04-30,101,2F05P,570.2,NA,NA
1971-05-01,101,2F05P,575.3,NA,NA
1971-05-02,101,2F05P,563.9,NA,NA
1971-05-03,101,2F05P,556.3,NA,NA
1971-05-04,101,2F05P,539.8,NA,NA
1971-05-05,101,2F05P,523.2,NA,NA
1971-05-06,101,2F05P,508,NA,NA
1971-05-07,101,2F05P,491.5,NA,NA
1971-05-08,101,2F05P,483.9,NA,NA
1971-05-09,101,2F05P,466.1,NA,NA
1971-05-10,101,2F05P,447,NA,NA
1971-05-11,101,2F05P,433.1,NA,NA
1971-05-12,101,2F05P,416.6,NA,NA
1971-05-13,101,2F05P,401.3,NA,NA
1971-05-14,101,2F05P,381,NA,NA
1971-05-15,101,2F05P,386.1,NA,NA
1971-05-16,101,2F05P,382.3,NA,NA
1971-05-17,101,2F05P,383.5,NA,NA
1971-05-18,101,2F05P,412.8,NA,NA
1971-05-19,101,2F05P,412.8,NA,NA
1971-05-20,101,2F05P,411.5,NA,NA
1971-05-21,101,2F05P,431.8,NA,NA
1971-05-22,101,2F05P,435.6,NA,NA
1971-05-23,101,2F05P,428,NA,NA
1971-05-24,101,2F05P,416.6,NA,NA
1971-05-25,101,2F05P,407.7,NA,NA
1971-05-26,101,2F05P,393.7,NA,NA
1971-05-27,101,2F05P,374.7,NA,NA
1971-05-28,101,2F05P,363.2,NA,NA
1971-05-29,101,2F05P,340.4,NA,NA
1971-05-30,101,2F05P,317.5,NA,NA
1971-05-31,101,2F05P,273.1,NA,NA
1971-06-01,101,2F05P,262.9,NA,NA
1971-06-02,101,2F05P,247.7,NA,NA
1971-06-03,101,2F05P,228.6,NA,NA
1971-06-04,101,2F05P,208.3,NA,NA
1971-06-05,101,2F05P,185.4,NA,NA
1971-06-06,101,2F05P,168.9,NA,NA
1971-06-07,101,2F05P,149.9,NA,NA
1971-06-08,101,2F05P,121.9,NA,NA
1971-06-09,101,2F05P,113,NA,NA
1971-06-10,101,2F05P,127,NA,NA
1971-06-11,101,2F05P,129.5,NA,NA
1971-06-12,101,2F05P,119.4,NA,NA
1971-06-13,101,2F05P,99.1,NA,NA
1971-06-14,101,2F05P,80,NA,NA
1971-06-15,101,2F05P,90.2,NA,NA
1971-06-16,101,2F05P,85.1,NA,NA
1971-06-17,101,2F05P,68.6,NA,NA
1971-06-18,101,2F05P,58.4,NA,NA
1971-06-19,101,2F05P,40.6,NA,NA
1971-06-20,101,2F05P,20.3,NA,NA
1971-06-21,101,2F05P,8.9,NA,NA
1971-06-22,101,2F05P,8.9,NA,NA
1971-06-23,101,2F05P,0,NA,NA
1971-06-24,101,2F05P,0,NA,NA
1971-06-25,101,2F05P,0,NA,NA
1971-10-02,101,2F05P,0,NA,NA
1971-10-03,101,2F05P,0.3,NA,NA
1971-10-04,101,2F05P,2,NA,NA
1971-10-05,101,2F05P,2.8,NA,NA
1971-10-06,101,2F05P,4.3,NA,NA
1971-10-07,101,2F05P,5.1,NA,NA
1971-10-08,101,2F05P,6.4,NA,NA
1971-10-09,101,2F05P,7.6,NA,NA
1971-10-10,101,2F05P,8.9,NA,NA
1971-10-11,101,2F05P,9.9,NA,NA
1971-10-12,101,2F05P,10.4,NA,NA
1971-10-13,101,2F05P,12.2,NA,NA
1971-10-14,101,2F05P,12.7,NA,NA
1971-10-15,101,2F05P,14,NA,NA
1971-10-16,101,2F05P,15.2,NA,NA
1971-10-17,101,2F05P,16.5,NA,NA
1971-10-18,101,2F05P,17.3,NA,NA
1971-10-19,101,2F05P,18,NA,NA
1971-10-20,101,2F05P,19.8,NA,NA
1971-10-21,101,2F05P,22.9,NA,NA
1971-10-22,101,2F05P,29,NA,NA
1971-10-23,101,2F05P,30,NA,NA
1971-10-24,101,2F05P,38.9,NA,NA
1971-10-25,101,2F05P,38.9,NA,NA
1971-10-26,101,2F05P,48.3,NA,NA
1971-10-27,101,2F05P,52.8,NA,NA
1971-10-28,101,2F05P,55.4,NA,NA
1971-10-29,101,2F05P,55.9,NA,NA
